token,count
bet,34486
starbucks,19288
you,15033
the,13945
this,9939
and,7577
that,6293
subway,6264
she,5913
for,5688
was,4359
want,4114
with,3644
like,3626
get,3514
never,3406
i'm,3344
they,3062
are,2915
when,2890
not,2720
some,2716
her,2642
all,2603
can,2599
going,2539
thank,2518
now,2490
walmart,2483
one,2444
your,2387
but,2337
from,2330
love,2329
kids,2311
will,2306
mcdonalds,2259
amp,2250
got,2246
after,2233
just,2224
soon,2199
what,2166
high,2111
know,2108
down,2080
who,2014
good,2012
thought,2006
have,1987
school,1934
his,1871
heard,1849
lunch,1830
broke,1809
happy,1808
out,1784
right,1771
happen,1726
august,1726
threw,1690
muffins,1688
don't,1545
it's,1494
these,1480
need,1467
that's,1453
can't,1453
best,1428
only,1399
too,1396
new,1350
look,1342
name,1303
https,1265
much,1265
you'll,1244
days,1232
really,1226
wait,1192
him,1188
dominos,1167
before,1123
see,1117
hungry,1101
lol,1092
y'all,1061
would,1049
day,1047
about,1011
playing,1000
how,989
putting,988
remember,975
ass,962
had,944
make,942
say,940
time,925
did,917
you're,917
saw,887
something,884
being,883
damn,869
i'll,862
song,855
today,832
god,804
free,803
back,801
guy,785
date,772
wish,769
wants,767
there,766
someone,764
won't,763
trying,754
girl,751
gonna,750
birthday,746
them,739
ain't,739
wanna,737
cry,734
craving,733
made,729
delicious,724
guys,720
shit,714
better,708
their,688
little,687
our,663
put,653
omg,652
still,648
could,647
more,644
why,641
night,639
doubt,637
take,633
cute,631
morning,631
veggie,627
bring,626
said,626
miss,624
life,621
lets,620
secret,617
sounds,613
mcd,605
gotta,588
than,579
place,575
minute,575
even,574
has,570
think,568
looking,568
been,566
everyone,559
first,558
j's,557
she's,552
comes,551
video,549
mall,548
money,542
pre,535
off,532
two,528
90's,524
man,524
didn't,523
raceway,517
freehold,517
next,516
coffee,509
recipe,508
work,508
bitch,507
gift,506
tho,501
robbins,500
baskin,500
well,500
gone,499
promo,499
then,498
come,496
isn't,495
merdeka,495
pumpkin,493
friends,490
card,487
puppies,486
boys,486
people,482
watching,469
face,468
try,461
very,443
were,438
always,437
same,437
since,436
here's,434
tomorrow,433
fuck,429
he's,428
spice,427
beautiful,426
movie,425
cookies,424
seen,423
year,417
great,416
real,416
mfs,410
nigga,409
sexy,405
ugly,403
ashvini,400
way,399
every,393
enters,393
ever,390
big,387
lips,380
drinks,377
soft,374
please,371
thanks,371
beat,366
without,364
here,361
taste,359
drive,356
show,355
last,350
deals,350
getting,349
sure,348
catch,346
delivery,346
let,336
though,335
ask,334
because,334
send,332
whole,332
drink,332
pizza,331
lmao,331
food,331
okay,330
feel,329
another,328
start,327
winner,327
looks,326
latte,326
those,325
yall,325
until,323
event,318
fans,316
goes,314
telling,313
able,312
blunt,312
find,311
bad,311
old,310
i've,310
arsenal,309
tell,307
into,306
end,306
pls,305
give,305
amakyedede,300
hosted,300
indigo02,300
week,298
forgot,298
over,298
abrantee,297
again,297
means,297
stop,296
live,296
sat,295
away,295
cause,292
absolutely,289
hands,289
yes,287
nice,285
buy,284
pretty,282
pushawardskathniels,281
kokomo,281
where,279
head,278
game,277
order,276
person,276
while,276
statesnaps,275
doitforstate,275
yesterday,272
concert,272
win,271
play,271
wont,270
nobody,270
pregnant,268
amazing,268
sub,268
late,267
trick,266
score,264
home,264
hotel,264
awards,262
yeah,261
either,258
tonight,253
eat,251
media,250
destroyed,248
we're,246
any,244
blocks,242
wallet,242
huh,240
does,239
tiller,239
thing,239
favorite,236
chanyeol,236
doing,235
football,235
friend,234
baby,234
won,232
woman,232
aftr,231
fall,230
hit,230
excited,229
run,228
26th,228
promote,226
smiling,226
theatre,225
white,225
black,225
dick,225
alright,225
there's,224
list,224
bill,224
guess,224
hell,223
passed,222
asked,221
finna,220
hope,220
breakfast,220
tea,219
lil,219
location,219
chicken,216
let's,215
turn,215
fries,214
nothing,213
hate,213
keep,211
signs,211
hey,209
mcchicken,207
dude,204
ice,203
turned,203
voice,203
already,203
ready,202
told,202
lost,202
others,201
hot,200
crazy,199
crying,197
bae,197
should,196
shopping,195
its,195
house,194
info,192
everything,192
bcos,190
aldubselflessacts,190
nayeon's,190
happynayeonda,189
went,189
fucking,188
caramel,188
different,188
frappuccino,188
missed,187
boy,187
i'd,186
sweet,186
http,186
coming,185
girls,185
which,185
pic,184
petty,184
care,184
heels,184
mean,183
sandwich,183
bro,182
bed,182
saturday,182
most,181
slip,181
music,180
dance,179
iced,178
finally,178
htt,178
watch,178
drives,177
lot,177
also,177
took,176
2am,175
fooling,175
runningmanchallenge,175
actually,173
ight,173
reaction,170
you've,170
aldubdatekay,169
songs,169
else,169
long,169
britishgp,167
heading,167
nope,166
proud,166
fill,166
mac,166
lane,166
sleep,166
feeling,165
women,165
pit,165
thread,165
other,164
josh,164
tryna,164
fun,164
years,163
sssniperwolf,163
rubbing,163
moto3,163
bruh,163
pawipower,163
glee,163
interested,162
mental,161
call,161
friday,161
signing,160
perfect,160
season,159
cheese,159
doesn't,159
sauce,159
hillary's,159
mustafi,158
opportunity,158
ung,157
twitter,156
text,156
blackkingappreciation,155
enjoyed,155
challenge,154
wouldn't,154
picture,153
waiting,152
chick,152
both,151
eating,151
smile,151
acting,150
super,150
somebody,150
use,150
s'mores,149
drake,149
working,148
everybody,148
mcdonald's,147
meant,147
everyday,146
bout,144
early,143
bomb,143
makes,143
anyone,143
used,142
you'd,142
chocolate,141
having,141
summer,141
glad,140
tuesday,140
talk,140
app,139
mind,139
fan,139
fil,139
read,139
mine,138
seat,138
drinking,138
left,137
swear,137
struggle,137
bitches,136
heaven,136
lady,136
treat,136
explain,136
bars,136
many,135
where's,135
done,135
taco,135
sing,134
check,134
wasn't,134
october,134
they're,133
dinner,133
car,133
jones,133
lyricist,132
needs,132
who's,132
nominated,132
wow,132
through,132
easy,131
mom,131
each,131
gets,131
doe,130
ard,130
bec,130
lit,130
bell,130
open,129
wtf,129
oct,129
feels,129
together,129
literally,128
quite,128
pussy,128
things,128
cream,127
hearing,127
myself,127
maggie,127
target,127
probably,126
takes,126
pushawardslizquens,126
spot,125
emojis,125
mocha,124
queen,124
behind,123
freak,123
baekhyun,123
kill,123
million,123
asf,122
messages,121
spoilt,121
hoe,121
playlist,121
number,119
few,119
tasty,119
thats,118
small,118
cutesy,118
tired,118
thinking,118
heart,118
100,118
wear,118
thru,118
drop,117
fine,117
anything,117
front,117
world,117
forever,117
hair,117
backstage,116
camila,116
aint,116
till,115
campus,115
loves,115
nah,115
sooooo,114
haha,114
yours,114
came,114
ads,114
jeongyeon,114
credit,114
city,113
gon,113
talking,113
ima,113
walking,112
certain,112
round,111
dead,111
tweet,111
hmm,111
exclusive,111
road,111
wrong,111
vids,110
milk,110
blonde,110
kiss,110
sorry,109
says,109
volkswagen,109
complain,109
noticed,109
stay,109
wit,109
hanging,108
frappe,108
bangkok,108
job,108
hard,108
men,108
weekend,108
such,108
delivered,108
walk,108
nxt,108
mustard,107
diva,107
alam,107
true,107
momo's,107
persons,107
funny,107
soooo,107
class,107
phone,106
dan,106
making,106
lesbian,106
brangelina,106
what's,106
double,106
ppl,105
extra,105
tom,105
around,105
started,105
idk,105
smug,104
sending,104
aniston,104
phil,104
karmaisabitch,104
caught,104
cool,104
help,104
muslim,104
yet,103
tune,103
whatever's,103
seriously,103
cup,103
team,103
mad,103
follow,102
barista,102
forget,102
fired,102
hongdae,102
times,102
fanmade,102
displayed,102
burger,101
ketchup,101
gives,101
bathroom,101
vanilla,101
update,101
worth,101
sound,101
enough,100
realized,100
haven't,100
shop,100
leave,100
idc,100
red,99
mayonnaise,99
line,99
ellen,99
bought,98
half,98
top,98
imma,98
stupid,98
tastes,98
campaign,98
channel,98
zendaya,97
pieces,97
kno,97
brotherly,97
britney,96
wanted,95
loving,95
straight,95
shirt,95
smell,94
children,94
niggas,93
found,93
dressed,92
nuggets,92
met,92
subliminal,92
stoners,92
iphone,92
dat,92
theories,91
welcome,91
trump,91
stops,91
fav,91
single,90
hold,90
philippines,90
ordered,90
bean,89
government,89
looked,89
bud,89
lose,89
mga,88
wearing,88
story,88
youtubeisoverparty,88
conspiracy,88
facts,88
calling,87
wine,87
they'll,87
he'll,87
dolphin,86
ultimate,86
snapchat,86
aldubadvocatesoflove,86
king,86
gusto,86
almost,86
headed,86
deliver,86
aldublpultimatebattle,85
jordan's,85
side,85
toes,85
break,85
cannot,84
breathe,84
fuckin,84
dont,84
ran,84
jealous,84
ganun,83
mas,83
likes,83
shortly,82
cummed,82
precious,82
female,82
aight,82
son,82
cries,81
later,81
weren't,81
seeing,81
gave,81
idea,81
non,81
lmfao,81
moment,81
philly,80
ugh,80
nyo,80
hoes,80
lives,80
bacon,80
vmas,80
sad,80
support,80
seconds,80
kam,79
sooo,79
pics,79
yea,79
meet,78
visit,78
afford,78
ang,78
pay,78
sleepy,77
egg,77
stuff,77
missing,77
five,76
olympics,76
sleeping,76
selling,76
strawberry,76
choose,76
wendy's,76
taking,76
kisses,76
mouth,76
party,75
undercover,75
quen,75
photoshoot,75
tortas,75
lie,75
session,75
uhm,75
dad,74
bread,74
stopped,74
psl,74
wondering,74
willing,74
scenes,74
must,74
watched,73
leaving,73
knew,73
parks,73
type,73
addicted,73
meal,73
wrote,73
it'll,73
far,72
holy,72
